id,syoshin_cd,syohin_mei,maker_cd,dai_bunrui_cd,chu_bunrui_cd,sho_bunrui_cd,sai_bunrui_cd,maker,dai_bunrui,chu_bunrui,sho_bunrui,sai_bunrui
87,49716276,ハウス　カレーＰ　牛乳でマンゴーラッシー　５０ｇ,4902402,100000,140000,140100,140197,4902402_ハウス食品,100000_食　品,140000_飲料・酒類,140100_嗜好飲料,140197_その他嗜好飲料
88,4562478930310,１９カレンダー　オードリーヘプバーン,456247893,300000,310000,319700,319797,456247893_ウイング,300000_文化用品,310000_文具・事務用品・情報文具,319700_一般文具・事務用品・情報文具,319797_その他一般文具・事務用品・情報文具
89,4972370222442,九鬼　深煎りいりごま白　６５ｇ,4972370,100000,110000,112000,112001,4972370_九鬼産業,100000_食　品,110000_加工食品,112000_農産乾物,112001_ゴマ
90,4973550211935,塩野　かつお沢庵　１本,4973550,100000,110000,111700,111701,4973550_塩野,100000_食　品,110000_加工食品,111700_漬物・佃煮,111701_漬物
91,4976814111118,ハヤシ　ＢＢ弾　６ｍｍ　２５０発,4976814,300000,320000,322100,322105,4976814_ハヤシ玩具製作所,300000_文化用品,320000_玩具,322100_ガン,322105_ガン用品
92,4903351003989,ＰＥＴＫＩＳＳ　歯みがきジェル　チキン風味　４０ｇ,4903351,200000,260000,262100,262103,4903351_ライオン商事,200000_日用品,260000_ペット用品,262100_犬,262103_犬用品・用具
93,4920569001125,ＭＪ　ＰＬモクグレンＣＫ２タックＳＬレングス,4920569,500000,510000,510300,510309,4920569_水甚,500000_衣料・身回り品,510000_衣料・衣服,510300_紳士衣料,510309_スラックス
94,4901478142000,クツワ　ハケつき工作用ニス,4901478,200000,250000,250200,250207,4901478_クツワ,200000_日用品,250000_ＤＩＹ用品,250200_建築・塗装材料,250207_塗装材料
95,4987316092898,エクセルーラ　パワーローションＲラージ　２４０ｍｌ,4987316,200000,230000,232100,232107,4987316_佐藤製薬,200000_日用品,230000_化粧品,232100_基礎化粧品,232107_化粧水
96,4901638600715,正栄食品　ジャイアントコーン　９０ｇ,4901638,100000,130000,130300,130301,4901638_正栄食品工業,100000_食　品,130000_菓子類,130300_珍味,130301_農産珍味
97,4902023630096,大平　フラットファイルＡ４青　３Ｐ,4902023,300000,310000,310200,310201,4902023_大平紙業,300000_文化用品,310000_文具・事務用品・情報文具,310200_ファイル・バインダー,310201_ファイル
98,4560143851144,リッチ　硬質カードケース　Ｂ４,456014385,300000,310000,310100,310103,456014385_リッチ,300000_文化用品,310000_文具・事務用品・情報文具,310100_情報整理用品,310103_カードケース・ボックス
99,4946842638062,アサヒ　シュワーベギンコ　イチョウ葉エキス　４５粒,4987244,100000,190000,190200,190201,4987244_アサヒグループ食品,100000_食　品,190000_その他食品,190200_健康食品,190201_健康食品
100,3308440051666,フレシェール　ドゥ　シュッド　ロゼ　７５０ｍｌ,0,100000,140000,140600,140651,000000000_不明,100000_食　品,140000_飲料・酒類,140600_アルコール飲料,140651_果実酒
